DAE,DOY,Pot Green Canopy Cover,Pot crop Transpiration (mm/day),Pot Biomass (kg/ha),Green Canopy Cover,Biomass (kg/ha),Transpiration (mm),Soil Evap (mm),Root Depth (m),Height (m),Max N Conc (kg/kg),Crit N Conc (kg/kg),Min N Conc (kg/kg),Crop N Conc (kg/kg),Crop N Mass (kg/ha),N Uptake (kg/ha),Crop WSI (0-1),Crop NSI (0-1),PAW Depletion Profile (0-1),Water Top 50 cm (m/m),Water Mid 50 cm (m/m),Water bottom 50 cm (m/m),N Mass Top 50 cm (kg/ha),N Mass Mid 50 cm (kg/ha),N Mass bottom 50 cm (kg/ha),N Leaching (kg/ha),Soil N Mass down to 150 cm (kg/ha),N Uptake Rate (kg/ha/day)
49,351,0.1858023799469373,0.12681012431378472,88.57046317328235,0.1858023799469373,88.57046317328235,0.12681012431378472,0.4465624272267582,0.4763372999115622,0.21256715377812474,0.07,0.0434,0.0315,0.06213076967161672,5.502951047127617,4.102951047127617,0,0.0,0.002331212943358892,,,,29.9471216478191,4.483338639601122,7.579775348676916,0.0,42.010235636097136,0.4102881939392031
50,352,0.19463402001517754,0.0025545715126992054,88.75109865724791,0.19463402001517754,88.75109865724791,0.002554571512699204,0.007989852679610249,0.49105670002529594,0.22388976925022763,0.07,0.0434,0.0315,0.0647172341994884,5.7437256372630126,4.343725637263013,0,0.0,0.002336685544089935,,,,29.712435538242897,4.483963322056651,7.579775348676916,0.0,41.776174208976464,0.24077459013539532
51,353,0.20379727103351056,0.002674839182314826,88.94023834968773,0.20379727103351056,88.94023834968773,0.002674839182314833,0.0074987486489035415,0.506328785055851,0.23563752696603918,0.07,0.0434,0.0315,0.0663865413329963,5.904434809368087,4.504434809368089,0,0.0,0.0023413431616295913,,,,29.55572214252369,4.484402759230992,7.579775348676916,0.0,41.6199002504316,0.16070917210507552
52,354,0.21328997612197073,0.033593171239210386,91.3156342681684,0.21328997612197073,91.3156342681684,0.03359317123921038,0.08584239450086781,0.5221499602032846,0.24780766169483429,0.07,0.0434,0.0315,0.06647829079756247,6.070507289243159,4.67050728924316,0,0.0,0.0028570079520818204,,,,29.39151169907401,4.4845081324683695,7.579775348676916,0.0,41.4557951802193,0.1660724798750713
53,355,0.22310832781816728,0.0029282968026134453,91.52269612081389,0.22310832781816728,91.52269612081389,0.0029282968026134444,0.007478957074907973,0.5385138796969455,0.26039529207457346,0.07,0.0434,0.0315,0.06752183408808664,6.179780302763966,4.7797803027639665,0,0.0,0.0028509287234595605,,,,29.284644783058905,4.484685085781227,7.579775348676916,0.0,41.34910521751705,0.10927301352080698
54,356,0.2332467800274835,0.003061363987860721,91.73916724436354,0.2332467800274835,91.73916724436354,0.0030613639878607204,0.007069865321421498,0.5554113000458059,0.27339330772754294,0.07,0.0434,0.0315,0.06821324089935041,6.257825915145566,4.857825915145567,0,0.0,0.002843964350135748,,,,29.20721631426318,4.484714817094381,7.579775348676916,0.0,41.27170648003448,0.0780456123816004
55,357,0.2436979738532884,0.01599267953412205,92.87002045915564,0.2436979738532884,92.87002045915564,0.015992679534122065,0.03414180389110185,0.5728299564221473,0.28679227417088254,0.07,0.0434,0.0315,0.06824475071336791,6.3378913949804545,4.937891394980455,0,0.0,0.003028255565225482,,,,29.128436472359358,4.484776259237813,7.579775348676916,0.0,41.19298808027409,0.0800654798348879
56,358,0.25445267991971154,0.023377839967623503,94.5230833762157,0.25445267991971154,94.5230833762157,0.02337783996762351,0.04522260570880229,0.5907544665328526,0.30058035887142504,0.07,0.0434,0.0315,0.06802458344339739,6.429893372452593,5.0298933724525945,0,0.0,0.0033072196916487297,,,,29.037264538595355,4.484741382807762,7.579775348676916,0.0,41.10178127008004,0.09200197747213901
57,359,0.26549975969351636,0.09060179299541246,100.92959759768729,0.26549975969351636,100.92959759768729,0.09060179299541246,0.1625973127082889,0.6091662661558607,0.3147432816583543,0.07,0.0434,0.0315,0.06583332685300974,6.644531187791294,5.244531187791295,0,0.0,0.004511139168381824,,,,28.82414871016232,4.4844250230996385,7.579775348676916,0.0,40.88834908193888,0.21463781533870058
58,360,0.276826148117139,0.0799335502688239,106.5817531416274,0.276826148117139,106.5817531416274,0.0799335502688239,0.1374486335009397,0.6280435801952318,0.3292642924578705,0.07,0.0434,0.0315,0.06481805832725604,6.908422291755209,5.50842229175521,0,0.0,0.005505992599325423,,,,28.561178700930622,4.484043242389144,7.579775348676916,0.0,40.624997291996685,0.26389110396391496
59,361,0.2884168595781754,0.0794948969212346,112.20289120990046,0.2884168595781754,112.20289120990046,0.0794948969212346,0.1358833618406072,0.6473614326302923,0.3441241789463787,0.07,0.0434,0.0315,0.06421103615281482,7.204663903929266,5.804663903929266,0,0.0,0.006440028520589923,,,,28.26844590975479,4.483875370529517,7.579775348676916,0.0,40.332096628961224,0.2962416121740565
